+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; step_motor_control_16_inst|sensor_debounce_util_stop_inst                                                                                                                 ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; step_motor_control_16_inst|sensor_debounce_em_stop_inst                                                                                                                   ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; step_motor_control_16_inst|sensor_debounce_reset_inst                                                                                                                     ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; step_motor_control_16_inst|step_motor_base_logic_inst                                                                                                                     ; 36    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; step_motor_control_16_inst|step_motor_encoder_inst|motor_encoder_fp_to_int_inst|motor_encoder_fp_to_int_inst|expXIsMax_uid12_fpToFxPTest_delay                            ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; step_motor_control_16_inst|step_motor_encoder_inst|motor_encoder_fp_to_int_inst|motor_encoder_fp_to_int_inst|redist1_frac_x_uid10_fpToFxPTest_b_1                         ; 26    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; step_motor_control_16_inst|step_motor_encoder_inst|motor_encoder_fp_to_int_inst|motor_encoder_fp_to_int_inst|excZ_x_uid11_fpToFxPTest_delay                               ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; step_motor_control_16_inst|step_motor_encoder_inst|motor_encoder_fp_to_int_inst|motor_encoder_fp_to_int_inst|redist0_signX_uid25_fpToFxPTest_b_1                          ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; step_motor_control_16_inst|step_motor_encoder_inst|motor_encoder_fp_to_int_inst|motor_encoder_fp_to_int_inst                                                              ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
